date,sort_date,type,id,text,fuzz,comment,case_no,names,aliases,agencies
2024-11-15,2024-11-15,sighting,1I9c0qJj,"Elon Musk and Russell Vought meet each other for the first time at Mar-a-Lago. They reportedly got along very well, with ""both on the same wavelength in terms of taking the most extreme action possible.""",,,,"Elon Musk, Russell Vought","",DOGE
2024-11-26,2024-11-26,sighting,2SjuZBR5,"A person who is likely Anthony Jancso posted a message in an AI challenge's Discord saying ""Helping the Dept. of Government Efficiency team find hardcore engineers. Send your GitHub/LinkedIn to @DOGE on X and your X handle to me in DM if you're interested or know someone who is, could help get them into the pipeline.""",,,,Anthony Jancso,"",DOGE
2024-12-05,2024-12-05,sighting,YmbfLdNB,A person who is likely Anthony Jancso posts recruitment messages for DOGE to a chat group for employees who had worked at Palantir,,,,Anthony Jancso,"",DOGE
2024-12-05,2024-12-05,sighting,24qgS3WS,Luke Farritor posts a recruitment message for DOGE in a Discord server for SpaceX interns stating that he is looking for volunteers to work at DOGE for 6 months.,,,,Luke Farritor,"",DOGE
2024-12-06,2024-12-06,directory,8vDj2q7P,"A report on the tech billionaires steering Trump's transition mentions Elon Musk and other names we now know to be DOGE staffers, and it describes how they have been interviewing people at Mar-a-Lago.",,,,"Baris Akis, Marc Andreessen, Jared Birchall, Steve Davis, Michael Kratsios, Scott Kupor, Shaun Maguire, Elon Musk","",DOGE
2024-12-06,2024-12-06,directory,2pttT6lj,An article in the NYT identifies Brad Smith as the person effectively running DOGE at Mar-a-Lago during the project's formation and speculates that DOGE may have an early focus on healthcare for this reason. It also names Steve Davis as a close collaborator.,,,,"Steve Davis, Brad Smith","",DOGE
2024-12-(15)~,2024-12-15,interagency,2AXaug8A,A contractor at the Social Security Administration arranges an introduction for Leland Dudek to meet Steve Davis.,"Date is just given as ""mid-December""",,,"Steve Davis, Leland Dudek","",SSA
2025-01-06,2025-01-06,directory,KvP48A34,Future DOGE recruit Riley Sennott's public calendar lists a 15-minute DOGE recruiting meeting on this day.,,,,Riley Sennott,"",DOGE
2025-01-08,2025-01-08,official,UsAfrk26,"The leader of the Trump transition team for the Treasury Department sends an email requesting that Thomas Krause be incuded on the ""day 1 team, to lead on Fiscal Services modernization efforts.""",,,1:25-cv-00313,Tom Krause,"",Treasury
2025-01-12,2025-01-12,directory,V7Gkkvah,A _New York Times_ report on DOGE from just before the Inauguration roughly describes the working arrangements for embedding some staff and detailing others as well as some early participants in the project,,,,"Baris Akis, Marc Andreessen, James Burnham, Steve Davis, Vinay Hiremath, Matt Luby, Shaun Maguire, Rachel Riley, Brad Smith, Joanna Wischer","",DOGE
2025-01-16,2025-01-16,report,TfWVwUjM,A report on conservative nonprofit groups doing research for DOGE notes that interviews are being conducted by Marc Andreessen and Shaun Maguire.,,,,"Marc Andreessen, Shaun Maguire","",DOGE
